No,프로젝트,D/P&BOM 코드,D/P&BOM 내역,설계기능,도면종류,협력사,직영책임부서,작업 출도계획,작업 출도실적
61,P1,DPBOM000000061,가공,F2,D2,D5,D3,2014-05-22,2014-05-20
62,P1,DPBOM000000062,가공,F2,D2,D5,D3,2014-05-25,2014-05-20
63,P1,DPBOM000000063,재마킹,F4,D6,,D3,2014-06-04,2014-05-20
64,P1,DPBOM000000064,가공,F4,D7,,D3,2014-05-25,2014-05-22
65,P1,DPBOM000000065,가공,F2,D2,D5,D3,2014-06-22,2014-06-16
66,P1,DPBOM000000066,족장,F3,D3,,D4,2014-06-30,2014-06-26
67,P1,DPBOM000000067,재마킹,F4,D6,,D3,2014-06-15,2014-06-05
68,P1,DPBOM000000068,가공,F4,D7,,D3,2014-06-22,2014-06-05
69,P1,DPBOM000000069,의장,F1,D8,,D1,2014-06-18,2014-05-28
70,P1,DPBOM000000070,공작,F2,D4,D5,D3,2014-06-24,2014-06-17
71,P1,DPBOM000000071,철의장,F2,D5,D5,D3,2012-12-31,2012-04-10
72,P1,DPBOM000000072,가공,F2,D2,D5,D3,2014-05-28,2014-05-18
73,P1,DPBOM000000073,가공,F2,D2,D5,D3,2014-06-15,2014-06-04
74,P1,DPBOM000000074,족장,F3,D3,,D4,2014-06-30,2014-06-26
75,P1,DPBOM000000075,가공,F4,D7,,D3,2014-06-15,2014-06-02
76,P1,DPBOM000000076,의장,F1,D8,,D1,2014-06-05,2014-05-28
77,P1,DPBOM000000077,공작,F2,D4,D5,D3,2014-06-17,2014-06-04
78,P1,DPBOM000000078,철의장,F2,D5,D5,D3,2013-01-13,2012-04-23
79,P1,DPBOM000000079,가공,F2,D2,D5,D3,2014-05-21,2014-05-12
80,P1,DPBOM000000080,가공,F2,D2,D5,D3,2014-06-16,2014-06-03
81,P1,DPBOM000000081,족장,F3,D3,,D4,2014-06-30,2014-06-26
82,P1,DPBOM000000082,가공,F4,D7,,D3,2014-06-16,2014-06-02
83,P1,DPBOM000000083,의장,F1,D8,,D1,2014-06-05,2014-05-28
84,P1,DPBOM000000084,공작,F2,D4,D5,D3,2014-06-17,2014-06-04
85,P1,DPBOM000000085,철의장,F2,D5,D5,D3,2013-01-08,2012-04-23
86,P1,DPBOM000000086,가공,F2,D2,D5,D3,2014-05-21,2014-05-13
87,P1,DPBOM000000087,가공,F2,D2,,D3,2014-08-24,2014-08-18
88,P1,DPBOM000000088,족장,F3,D3,,D4,2014-09-01,2014-06-26
89,P1,DPBOM000000089,가공,F4,D7,,D3,2014-08-24,2014-08-10
90,P1,DPBOM000000090,의장,F1,D8,,D1,2014-08-26,2014-05-28
91,P1,DPBOM000000091,공작,F2,D4,,D3,2014-08-27,2014-08-21
92,P1,DPBOM000000092,철의장,F2,D5,,D3,2013-02-18,2011-11-10
93,P1,DPBOM000000093,가공,F2,D2,,D3,2014-08-11,2014-08-06
94,P1,DPBOM000000094,가공,F2,D2,,D3,2014-09-01,2014-08-14
95,P1,DPBOM000000095,족장,F3,D3,,D4,2014-09-02,2014-06-26
96,P1,DPBOM000000096,가공,F4,D7,,D3,2014-09-01,2014-08-31
97,P1,DPBOM000000097,의장,F1,D8,,D1,2014-08-28,2014-05-28
98,P1,DPBOM000000098,공작,F2,D4,,D3,2014-09-03,2014-08-26
99,P1,DPBOM000000099,철의장,F2,D5,,D3,2013-02-26,2011-12-01
100,P1,DPBOM000000100,가공,F2,D2,,D3,2014-08-11,2014-07-30
101,P1,DPBOM000000101,가공,F2,D2,,D3,2014-07-03,2014-06-23
102,P1,DPBOM000000102,족장,F3,D3,,D4,2014-07-02,2014-06-26
103,P1,DPBOM000000103,가공,F4,D7,,D3,2014-07-03,2014-06-19
104,P1,DPBOM000000104,의장,F1,D8,,D1,2014-06-25,2014-05-28
105,P1,DPBOM000000105,공작,F2,D4,,D3,2014-07-02,2014-06-23
106,P1,DPBOM000000106,철의장,F2,D5,,D3,2013-02-26,2011-12-01
107,P1,DPBOM000000107,가공,F2,D2,,D3,2014-06-04,2014-06-03
108,P1,DPBOM000000108,가공,F2,D2,,D3,2014-07-03,2014-06-24
109,P1,DPBOM000000109,족장,F3,D3,,D4,2014-07-03,2014-06-26
110,P1,DPBOM000000110,가공,F4,D7,,D3,2014-07-03,2014-06-19
111,P1,DPBOM000000111,의장,F1,D8,,D1,2014-06-26,2014-05-28
112,P1,DPBOM000000112,공작,F2,D4,,D3,2014-07-03,2014-06-24
113,P1,DPBOM000000113,철의장,F2,D5,,D3,2012-12-16,2011-07-28
114,P1,DPBOM000000114,가공,F2,D2,,D3,2014-06-05,2014-05-28
115,P1,DPBOM000000115,가공,F2,D2,,D3,2014-06-26,2014-06-16
116,P1,DPBOM000000116,족장,F3,D3,,D4,2014-06-30,2014-06-26
117,P1,DPBOM000000117,가공,F4,D7,,D3,2014-06-26,2014-06-16
118,P1,DPBOM000000118,의장,F1,D8,,D1,2014-06-22,2014-05-28
119,P1,DPBOM000000119,공작,F2,D4,,D3,2014-06-26,2014-06-16
120,P1,DPBOM000000120,철의장,F2,D5,,D3,2012-11-29,2011-09-18
121,P1,DPBOM000000121,가공,F2,D2,,D3,2014-06-01,2014-05-25
122,P1,DPBOM000000122,가공,F2,D2,,D3,2014-06-18,2014-06-12
123,P1,DPBOM000000123,족장,F3,D3,,D4,2014-06-30,2014-06-26
124,P1,DPBOM000000124,재마킹,F4,D6,,D3,2014-06-04,2014-05-20
125,P1,DPBOM000000125,가공,F4,D7,,D3,2014-06-18,2014-06-17
126,P1,DPBOM000000126,의장,F1,D8,,D1,2014-06-15,2014-05-28
127,P1,DPBOM000000127,공작,F2,D4,,D3,2014-06-19,2014-06-10
128,P1,DPBOM000000128,철의장,F2,D5,,D3,2013-01-03,2011-09-11
129,P1,DPBOM000000129,가공,F2,D2,,D3,2014-05-25,2014-05-25
130,P1,DPBOM000000130,가공,F2,D2,,D3,2014-05-27,2014-05-25
131,P1,DPBOM000000131,재마킹,F4,D6,,D3,2014-06-12,2014-05-28
132,P1,DPBOM000000132,가공,F4,D7,,D3,2014-05-27,2014-05-15
133,P1,DPBOM000000133,가공,F2,D2,,D3,2014-06-23,2014-06-15
134,P1,DPBOM000000134,족장,F3,D3,,D4,2014-06-30,2014-06-26
135,P1,DPBOM000000135,재마킹,F4,D6,,D3,2014-06-12,2014-05-28
136,P1,DPBOM000000136,가공,F4,D7,,D3,2014-06-23,2014-06-05
137,P1,DPBOM000000137,의장,F1,D8,,D1,2014-06-17,2014-05-28
138,P1,DPBOM000000138,공작,F2,D4,,D3,2014-06-23,2014-06-15
139,P1,DPBOM000000139,철의장,F2,D5,,D3,2013-01-03,2011-09-18
140,P1,DPBOM000000140,가공,F2,D2,,D3,2014-05-27,2014-05-18
141,P1,DPBOM000000141,가공,F2,D2,,D3,2014-05-27,2014-05-18
142,P1,DPBOM000000142,재마킹,F4,D6,,D3,2014-06-12,2014-05-28
143,P1,DPBOM000000143,가공,F4,D7,,D3,2014-05-27,2014-05-15
144,P1,DPBOM000000144,의장,F1,D8,,D1,2014-09-14,2014-05-28
145,P1,DPBOM000000145,철의장,F2,D5,,D3,2013-02-18,2011-12-01
146,P1,DPBOM000000146,가공,F2,D2,D5,D3,2014-09-22,2014-09-18
147,P1,DPBOM000000147,족장,F3,D3,,D4,2014-09-29,2014-06-26
148,P1,DPBOM000000148,공작,F2,D4,D5,D3,2014-09-30,2014-09-22
149,P1,DPBOM000000149,철의장,F2,D5,D5,D3,2013-01-28,2011-07-13
150,P1,DPBOM000000150,가공,F2,D2,D5,D3,2014-09-09,2014-09-07
151,P1,DPBOM000000151,가공,F2,D2,D5,D3,2014-09-11,2014-09-08
152,P1,DPBOM000000152,가공,F2,D2,D5,D3,2014-09-25,2014-09-22
153,P1,DPBOM000000153,족장,F3,D3,,D4,2014-10-05,2014-06-26
154,P1,DPBOM000000154,공작,F2,D4,D5,D3,2014-10-08,2014-09-22
155,P1,DPBOM000000155,철의장,F2,D5,D5,D3,2013-01-28,2011-07-14
156,P1,DPBOM000000156,가공,F2,D2,D5,D3,2014-09-17,2014-09-14
157,P1,DPBOM000000157,가공,F2,D2,D5,D3,2014-06-17,2014-06-12
158,P1,DPBOM000000158,족장,F3,D3,,D4,2014-06-30,2014-06-26
159,P1,DPBOM000000159,공작,F2,D4,D5,D3,2014-06-22,2014-06-18
160,P1,DPBOM000000160,가공,F2,D2,D5,D3,2014-05-26,2014-05-21
161,P1,DPBOM000000161,가공,F2,D2,D5,D3,2014-06-17,2014-06-12
162,P1,DPBOM000000162,족장,F3,D3,,D4,2014-06-30,2014-06-26
163,P1,DPBOM000000163,공작,F2,D4,D5,D3,2014-06-23,2014-06-18
164,P1,DPBOM000000164,철의장,F2,D5,D5,D3,2013-02-03,2011-10-11
165,P1,DPBOM000000165,가공,F2,D2,D5,D3,2014-05-27,2014-05-21
166,P1,DPBOM000000166,가공,F2,D2,D5,D3,2014-05-29,2014-05-26
167,P1,DPBOM000000167,가공,F2,D2,D5,D3,2014-06-03,2014-05-29
168,P1,DPBOM000000168,족장,F3,D3,,D4,2014-06-30,2014-06-26
169,P1,DPBOM000000169,공작,F2,D4,D5,D3,2014-06-17,2014-06-12
170,P1,DPBOM000000170,철의장,F2,D5,D5,D3,2013-02-03,2011-10-13
171,P1,DPBOM000000171,가공,F2,D2,D5,D3,2014-05-21,2014-05-18
172,P1,DPBOM000000172,가공,F2,D2,D5,D3,2014-06-05,2014-06-02
173,P1,DPBOM000000173,족장,F3,D3,,D4,2014-06-30,2014-06-26
174,P1,DPBOM000000174,공작,F2,D4,D5,D3,2014-06-17,2014-06-12
175,P1,DPBOM000000175,가공,F2,D2,D5,D3,2014-05-21,2014-05-18
176,P1,DPBOM000000176,가공,F2,D2,D5,D3,2014-05-21,2014-05-18
177,P1,DPBOM000000177,가공,F2,D2,,D3,2014-09-04,2014-08-24
178,P1,DPBOM000000178,족장,F3,D3,,D4,2014-09-17,2014-06-26
179,P1,DPBOM000000179,공작,F2,D4,,D3,2014-09-21,2014-09-02
180,P1,DPBOM000000180,철의장,F2,D5,,D3,2013-03-18,2011-12-04
181,P1,DPBOM000000181,가공,F2,D2,,D3,2014-08-31,2014-08-24
182,P1,DPBOM000000182,가공,F2,D2,,D3,2014-08-26,2014-08-19
183,P1,DPBOM000000183,족장,F3,D3,,D4,2014-09-02,2014-06-26
184,P1,DPBOM000000184,공작,F2,D4,,D3,2014-09-04,2014-08-25
185,P1,DPBOM000000185,철의장,F2,D5,,D3,2013-03-13,2011-12-04
186,P1,DPBOM000000186,가공,F2,D2,,D3,2014-08-14,2014-08-12
187,P1,DPBOM000000187,가공,F2,D2,,D3,2014-08-14,2014-08-12
188,P1,DPBOM000000188,가공,F2,D2,,D3,2014-06-30,2014-06-23
189,P1,DPBOM000000189,족장,F3,D3,,D4,2014-07-08,2014-06-26
190,P1,DPBOM000000190,공작,F2,D4,,D3,2014-07-08,2014-06-23
191,P1,DPBOM000000191,철의장,F2,D5,,D3,2013-03-18,2011-12-04
192,P1,DPBOM000000192,가공,F2,D2,,D3,2014-06-16,2014-06-04
193,P1,DPBOM000000193,가공,F2,D2,,D3,2014-06-30,2014-06-20
194,P1,DPBOM000000194,족장,F3,D3,,D4,2014-07-08,2014-06-26
195,P1,DPBOM000000195,공작,F2,D4,,D3,2014-07-08,2014-06-22
196,P1,DPBOM000000196,철의장,F2,D5,,D3,2013-03-18,2011-12-04
197,P1,DPBOM000000197,가공,F2,D2,,D3,2014-06-16,2014-06-09
198,P1,DPBOM000000198,가공,F2,D2,,D3,2014-06-16,2014-06-09
199,P1,DPBOM000000199,가공,F2,D2,,D3,2014-06-23,2014-06-20
200,P1,DPBOM000000200,족장,F3,D3,,D4,2014-06-30,2014-06-26
201,P1,DPBOM000000201,공작,F2,D4,,D3,2014-06-30,2014-06-22
202,P1,DPBOM000000202,철의장,F2,D5,,D3,2013-03-21,2011-12-04
203,P1,DPBOM000000203,가공,F2,D2,,D3,2014-06-02,2014-06-02
204,P1,DPBOM000000204,가공,F2,D2,,D3,2014-06-24,2014-06-22
205,P1,DPBOM000000205,족장,F3,D3,,D4,2014-06-30,2014-06-26
206,P1,DPBOM000000206,공작,F2,D4,,D3,2014-06-30,2014-06-23
207,P1,DPBOM000000207,철의장,F2,D5,,D3,2013-03-21,2011-07-14
208,P1,DPBOM000000208,가공,F2,D2,,D3,2014-06-02,2014-06-01
209,P1,DPBOM000000209,가공,F2,D2,,D3,2014-06-02,2014-06-01
210,P1,DPBOM000000210,가공,F2,D2,,D3,2014-10-01,2014-09-16
211,P1,DPBOM000000211,족장,F3,D3,,D4,2014-10-09,2014-06-26
212,P1,DPBOM000000212,공작,F2,D4,,D3,2014-10-13,2014-09-16
213,P1,DPBOM000000213,철의장,F2,D5,,D3,2013-03-18,2012-01-04
214,P1,DPBOM000000214,가공,F2,D2,,D3,2014-09-22,2014-09-16
215,P1,DPBOM000000215,가공,F2,D2,D5,D3,2014-07-13,2014-07-09
216,P1,DPBOM000000216,족장,F3,D3,,D4,2014-08-04,2014-07-03
217,P1,DPBOM000000217,의장,F1,D8,,D1,2012-10-14,2012-06-11
218,P1,DPBOM000000218,공작,F2,D4,D5,D3,2014-08-04,2014-07-30
219,P1,DPBOM000000219,철의장,F5,D5,,D3,2012-10-31,2011-08-02
220,P1,DPBOM000000220,철의장,F2,D5,D5,D3,2012-10-31,2011-06-29
221,P1,DPBOM000000221,가공,F2,D2,D5,D3,2014-07-13,2014-07-10
222,P1,DPBOM000000222,재마킹,F4,D6,,D3,2014-07-24,2014-07-08
223,P1,DPBOM000000223,가공,F4,D7,,D3,2014-07-13,2014-07-02
224,P1,DPBOM000000224,가공,F2,D2,D5,D3,2014-07-13,2014-07-09
225,P1,DPBOM000000225,재마킹,F4,D6,,D3,2014-07-24,2014-07-22
226,P1,DPBOM000000226,가공,F4,D7,,D3,2014-07-13,2014-07-01
227,P1,DPBOM000000227,재마킹,F4,D6,,D3,2014-07-24,2014-07-08
228,P1,DPBOM000000228,가공,F4,D7,,D3,2014-07-13,2014-07-09
229,P1,DPBOM000000229,가공,F2,D2,D5,D3,2014-06-23,2014-06-18
230,P1,DPBOM000000230,족장,F3,D3,,D4,2014-07-16,2014-07-03
231,P1,DPBOM000000231,재마킹,F4,D6,,D3,2014-07-06,2014-06-23
232,P1,DPBOM000000232,가공,F4,D7,,D3,2014-06-23,2014-06-05
233,P1,DPBOM000000233,의장,F1,D8,,D1,2014-07-09,2014-05-28
234,P1,DPBOM000000234,공작,F2,D4,,D3,2014-07-16,2014-06-30
235,P1,DPBOM000000235,철의장,F2,D5,,D3,2012-10-16,2011-06-29
236,P1,DPBOM000000236,가공,F2,D2,D5,D3,2014-06-23,2014-06-18
237,P1,DPBOM000000237,재마킹,F4,D6,,D3,2014-07-06,2014-06-23
238,P1,DPBOM000000238,가공,F4,D7,,D3,2014-06-23,2014-06-05
239,P1,DPBOM000000239,가공,F2,D2,D5,D3,2014-06-23,2014-06-17
240,P1,DPBOM000000240,가공,F2,D2,D5,D3,2014-06-23,2014-06-17
241,P1,DPBOM000000241,가공,F2,D2,D5,D3,2014-06-23,2014-06-16
242,P1,DPBOM000000242,재마킹,F4,D6,,D3,2014-07-06,2014-06-23
243,P1,DPBOM000000243,가공,F4,D7,,D3,2014-06-23,2014-06-05
244,P1,DPBOM000000244,가공,F2,D2,D5,D3,2014-06-23,2014-06-16
245,P1,DPBOM000000245,재마킹,F4,D6,,D3,2014-07-06,2014-06-23
246,P1,DPBOM000000246,가공,F4,D7,,D3,2014-06-23,2014-06-05
247,P1,DPBOM000000247,가공,F2,D2,D5,D3,2014-06-23,2014-06-16
248,P1,DPBOM000000248,가공,F2,D2,D5,D3,2014-08-13,2014-08-11
249,P1,DPBOM000000249,의장,F1,D8,,D1,2014-06-05,2014-05-28
250,P1,DPBOM000000250,공작,F2,D4,D5,D3,2014-06-17,2014-06-03
251,P1,DPBOM000000251,철의장,F2,D5,D5,D3,2012-10-28,2011-06-29
252,P1,DPBOM000000252,가공,F2,D2,D5,D3,2014-05-21,2014-05-18
253,P1,DPBOM000000253,재마킹,F4,D6,,D3,2014-06-02,2014-05-20
254,P1,DPBOM000000254,가공,F4,D7,,D3,2014-05-21,2014-05-12
255,P1,DPBOM000000255,가공,F2,D2,D5,D3,2014-07-31,2014-07-29
256,P1,DPBOM000000256,재마킹,F4,D6,,D3,2014-08-12,2014-07-28
257,P1,DPBOM000000257,가공,F4,D7,,D3,2014-07-31,2014-07-21
258,P1,DPBOM000000258,재마킹,F4,D6,,D3,2014-07-31,2014-07-14
259,P1,DPBOM000000259,가공,F4,D7,,D3,2014-07-21,2014-07-20
260,P1,DPBOM000000260,가공,F2,D2,D5,D3,2014-09-22,2014-08-26
261,P1,DPBOM000000261,족장,F3,D3,,D4,2014-09-15,2014-07-03
262,P1,DPBOM000000262,재마킹,F4,D6,,D3,2014-09-16,2014-09-03
263,P1,DPBOM000000263,가공,F4,D7,,D3,2014-09-22,2014-09-09
264,P1,DPBOM000000264,의장,F1,D8,,D1,2014-09-11,2014-05-28
265,P1,DPBOM000000265,공작,F2,D4,D5,D3,2014-09-25,2014-09-21
266,P1,DPBOM000000266,철의장,F2,D5,D5,D3,2012-12-19,2011-09-13
267,P1,DPBOM000000267,가공,F2,D2,D5,D3,2014-09-04,2014-08-26
268,P1,DPBOM000000268,가공,F2,D2,D5,D3,2014-09-04,2014-08-26
269,P1,DPBOM000000269,가공,F2,D2,D5,D3,2014-08-10,2014-08-05
270,P1,DPBOM000000270,공작,F2,D4,D5,D3,2014-08-19,2014-08-10
271,P1,DPBOM000000271,철의장,F2,D5,D5,D3,2012-12-16,2011-06-29
272,P1,DPBOM000000272,가공,F2,D2,D5,D3,2014-07-30,2014-07-23
273,P1,DPBOM000000273,재마킹,F4,D6,,D3,2014-08-11,2014-07-28
274,P1,DPBOM000000274,가공,F4,D7,,D3,2014-07-30,2014-07-17
275,P1,DPBOM000000275,가공,F2,D2,D5,D3,2014-07-31,2014-07-22
276,P1,DPBOM000000276,재마킹,F4,D6,,D3,2014-08-12,2014-07-28
277,P1,DPBOM000000277,가공,F4,D7,,D3,2014-07-31,2014-07-21
278,P1,DPBOM000000278,가공,F2,D2,D5,D3,2014-09-22,2014-09-14
279,P1,DPBOM000000279,가공,F2,D2,D5,D3,2014-09-16,2014-09-11
280,P1,DPBOM000000280,족장,F3,D3,,D4,2014-10-02,2014-07-03
281,P1,DPBOM000000281,공작,F2,D4,D5,D3,2014-10-07,2014-10-01
282,P1,DPBOM000000282,철의장,F2,D5,D5,D3,2013-05-15,2012-11-14
283,P1,DPBOM000000283,가공,F2,D2,D5,D3,2014-08-04,2014-07-27
284,P1,DPBOM000000284,족장,F3,D3,,D4,2014-08-11,2014-07-03
285,P1,DPBOM000000285,공작,F2,D4,,D3,2014-08-11,2014-08-03
286,P1,DPBOM000000286,철의장,F2,D5,,D3,2012-11-29,2011-06-29
287,P1,DPBOM000000287,가공,F2,D2,D5,D3,2014-07-21,2014-07-14
288,P1,DPBOM000000288,재마킹,F4,D6,,D3,2014-07-31,2014-07-14
289,P1,DPBOM000000289,가공,F4,D7,,D3,2014-07-21,2014-07-09
290,P1,DPBOM000000290,가공,F2,D2,D5,D3,2014-07-22,2014-07-14
291,P1,DPBOM000000291,재마킹,F4,D6,,D3,2014-08-03,2014-07-22
292,P1,DPBOM000000292,가공,F4,D7,,D3,2014-07-22,2014-07-11
293,P1,DPBOM000000293,가공,F2,D2,D5,D3,2014-07-23,2014-07-14
294,P1,DPBOM000000294,가공,F2,D2,D5,D3,2014-08-12,2014-08-03
295,P1,DPBOM000000295,족장,F3,D3,,D4,2014-08-11,2014-07-03
296,P1,DPBOM000000296,의장,F1,D8,,D1,2014-08-04,2014-05-28
297,P1,DPBOM000000297,공작,F2,D4,D5,D3,2014-08-13,2014-08-11
298,P1,DPBOM000000298,철의장,F2,D5,D5,D3,2012-12-16,2011-06-29
299,P1,DPBOM000000299,가공,F2,D2,D5,D3,2014-07-29,2014-07-20
300,P1,DPBOM000000300,재마킹,F4,D6,,D3,2014-08-10,2014-07-28
301,P1,DPBOM000000301,가공,F4,D7,,D3,2014-07-29,2014-07-17
302,P1,DPBOM000000302,가공,F2,D2,D5,D3,2014-07-21,2014-07-12
303,P1,DPBOM000000303,재마킹,F4,D6,,D3,2014-07-31,2014-07-14
304,P1,DPBOM000000304,가공,F4,D7,,D3,2014-07-21,2014-07-09
305,P1,DPBOM000000305,재마킹,F4,D6,,D3,2014-08-21,2014-08-04
306,P1,DPBOM000000306,가공,F4,D7,,D3,2014-08-11,2014-07-30
307,P1,DPBOM000000307,가공,F2,D2,D5,D3,2014-09-29,2014-09-21
308,P1,DPBOM000000308,가공,F2,D2,D5,D3,2014-09-21,2014-09-16
309,P1,DPBOM000000309,족장,F3,D3,,D4,2014-10-02,2014-07-03
310,P1,DPBOM000000310,공작,F2,D4,D5,D3,2014-10-12,2014-10-07
311,P1,DPBOM000000311,철의장,F2,D5,D5,D3,2012-12-16,2012-10-28
312,P1,DPBOM000000312,가공,F2,D2,D5,D3,2014-08-17,2014-08-11
313,P1,DPBOM000000313,족장,F3,D3,,D4,2014-08-14,2014-07-03
314,P1,DPBOM000000314,공작,F2,D4,D5,D3,2014-08-14,2014-08-12
315,P1,DPBOM000000315,철의장,F2,D5,D5,D3,2012-11-20,2011-06-29
316,P1,DPBOM000000316,가공,F2,D2,D5,D3,2014-08-04,2014-07-27
317,P1,DPBOM000000317,재마킹,F4,D6,,D3,2014-08-14,2014-07-28
318,P1,DPBOM000000318,가공,F4,D7,,D3,2014-08-04,2014-07-22
319,P1,DPBOM000000319,가공,F2,D2,D5,D3,2014-08-04,2014-07-27
320,P1,DPBOM000000320,가공,F2,D2,D5,D3,2014-07-24,2014-07-22
321,P1,DPBOM000000321,가공,F2,D2,D5,D3,2014-07-24,2014-07-22
322,P1,DPBOM000000322,가공,F2,D2,D5,D3,2014-08-24,2014-08-17
323,P1,DPBOM000000323,족장,F3,D3,,D4,2014-08-18,2014-07-03
324,P1,DPBOM000000324,공작,F2,D4,D5,D3,2014-08-18,2014-08-10
325,P1,DPBOM000000325,철의장,F2,D5,D5,D3,2012-11-20,2011-06-29
326,P1,DPBOM000000326,가공,F2,D2,D5,D3,2014-08-05,2014-07-27
327,P1,DPBOM000000327,재마킹,F4,D6,,D3,2014-08-17,2014-08-04
328,P1,DPBOM000000328,가공,F4,D7,,D3,2014-08-05,2014-07-24
329,P1,DPBOM000000329,가공,F2,D2,D5,D3,2014-07-28,2014-07-20
